nro_asiento,fecha,concepto,cuenta_codigo,cuenta_nombre,debe,haber,detalle
OP-307,2025-08-05,"Pago de sueldos netos, retenciones y cargas sociales de 07/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 07/2025"
OP-307,2025-08-05,"Pago de sueldos netos, retenciones y cargas sociales de 07/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 07/2025"
OP-130,2025-08-08,"Campaña de publicidad (Factura A 0088-00000005)",4.4.01,"Publicidad",900000.00,0.00,"FA 0088-00000005"
OP-130,2025-08-08,"Campaña de publicidad (Factura A 0088-00000005)",1.1.03.01,"IVA Crédito Fiscal",189000.00,0.00,"FA 0088-00000005"
OP-130,2025-08-08,"Campaña de publicidad (Factura A 0088-00000005)",1.1.01.02,"Banco c/c ARS",0.00,1089000.00,"FA 0088-00000005"
OP-208,2025-08-31,"Liquidación de sueldos y cargas sociales — 08/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 08/2025"
OP-208,2025-08-31,"Liquidación de sueldos y cargas sociales — 08/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 08/2025"
OP-208,2025-08-31,"Liquidación de sueldos y cargas sociales — 08/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 08/2025"
OP-208,2025-08-31,"Liquidación de sueldos y cargas sociales — 08/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 08/2025"
OP-208,2025-08-31,"Liquidación de sueldos y cargas sociales — 08/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 08/2025"
OP-109,2025-09-05,"Alquiler del local — 09/2025 (Factura A 0055-00000009)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000009"
OP-109,2025-09-05,"Alquiler del local — 09/2025 (Factura A 0055-00000009)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000009"
OP-109,2025-09-05,"Alquiler del local — 09/2025 (Factura A 0055-00000009)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000009"
OP-308,2025-09-05,"Pago de sueldos netos, retenciones y cargas sociales de 08/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 08/2025"
OP-308,2025-09-05,"Pago de sueldos netos, retenciones y cargas sociales de 08/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 08/2025"
OP-308,2025-09-05,"Pago de sueldos netos, retenciones y cargas sociales de 08/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 08/2025"
OP-308,2025-09-05,"Pago de sueldos netos, retenciones y cargas sociales de 08/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 08/2025"
OP-031,2025-09-10,"Cobro parcial a deudores por ventas",1.1.01.02,"Banco c/c ARS",15000000.00,0.00,"Recibo 000027"
OP-031,2025-09-10,"Cobro parcial a deudores por ventas",1.1.02.01,"Deudores por ventas",0.00,15000000.00,"Recibo 000027"
OP-123,2025-09-10,"Energía, internet y telefonía — trimestre 3",4.5.05,"Servicios públicos",300000.00,0.00,"Facturas de servicios T3"
OP-123,2025-09-10,"Energía, internet y telefonía — trimestre 3",1.1.03.01,"IVA Crédito Fiscal",63000.00,0.00,"Facturas de servicios T3"
OP-123,2025-09-10,"Energía, internet y telefonía — trimestre 3",1.1.01.02,"Banco c/c ARS",0.00,363000.00,"Facturas de servicios T3"
IVA-T3,2025-09-30,"Liquidación de IVA — trimestre 3/2025",2.1.03.01,"IVA Débito Fiscal",6174000.00,0.00,"Cancelación del débito fiscal del trimestre 3"
IVA-T3,2025-09-30,"Liquidación de IVA — trimestre 3/2025",1.1.03.01,"IVA Crédito Fiscal",0.00,835800.00,"Cancelación del crédito fiscal del trimestre 3"
IVA-T3,2025-09-30,"Liquidación de IVA — trimestre 3/2025",1.1.03.06,"IVA a favor",0.00,3754800.00,"Aplicación del saldo técnico a favor anterior"
IVA-T3,2025-09-30,"Liquidación de IVA — trimestre 3/2025",2.1.03.04,"IVA a pagar",0.00,1583400.00,"Posición a ingresar"
OP-007,2025-09-30,"Amortización del rodado hasta la fecha de venta (9 meses)",4.5.11,"Amortizaciones bienes de uso",600000.00,0.00,"Papel de trabajo AM-01"
OP-007,2025-09-30,"Amortización del rodado hasta la fecha de venta (9 meses)",1.2.01.94,"Amort. acum. Rodados",0.00,600000.00,"Papel de trabajo AM-01"
OP-008,2025-09-30,"Venta del rodado al contado (Factura B 0003-00000009)",1.1.01.02,"Banco c/c ARS",4598000.00,0.00,"FB 0003-00000009"
OP-008,2025-09-30,"Venta del rodado al contado (Factura B 0003-00000009)",1.2.01.94,"Amort. acum. Rodados",600000.00,0.00,"FB 0003-00000009"
OP-008,2025-09-30,"Venta del rodado al contado (Factura B 0003-00000009)",1.2.01.04,"Rodados",0.00,4000000.00,"FB 0003-00000009"
OP-008,2025-09-30,"Venta del rodado al contado (Factura B 0003-00000009)",2.1.03.01,"IVA Débito Fiscal",0.00,798000.00,"FB 0003-00000009"
OP-008,2025-09-30,"Venta del rodado al contado (Factura B 0003-00000009)",4.7.04,"Resultado venta bienes de uso",0.00,400000.00,"FB 0003-00000009"
OP-143,2025-09-30,"Comisiones y gastos bancarios — trimestre 3",4.6.04,"Comisiones y gastos bancarios",80000.00,0.00,"Resumen bancario T3"
OP-143,2025-09-30,"Comisiones y gastos bancarios — trimestre 3",1.1.03.01,"IVA Crédito Fiscal",16800.00,0.00,"Resumen bancario T3"
OP-143,2025-09-30,"Comisiones y gastos bancarios — trimestre 3",1.1.01.02,"Banco c/c ARS",0.00,96800.00,"Resumen bancario T3"
OP-209,2025-09-30,"Liquidación de sueldos y cargas sociales — 09/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 09/2025"
OP-209,2025-09-30,"Liquidación de sueldos y cargas sociales — 09/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 09/2025"
OP-209,2025-09-30,"Liquidación de sueldos y cargas sociales — 09/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 09/2025"
OP-209,2025-09-30,"Liquidación de sueldos y cargas sociales — 09/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 09/2025"
OP-209,2025-09-30,"Liquidación de sueldos y cargas sociales — 09/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 09/2025"
OP-110,2025-10-05,"Alquiler del local — 10/2025 (Factura A 0055-00000010)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000010"
OP-110,2025-10-05,"Alquiler del local — 10/2025 (Factura A 0055-00000010)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000010"
OP-110,2025-10-05,"Alquiler del local — 10/2025 (Factura A 0055-00000010)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000010"
OP-309,2025-10-05,"Pago de sueldos netos, retenciones y cargas sociales de 09/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 09/2025"
OP-309,2025-10-05,"Pago de sueldos netos, retenciones y cargas sociales de 09/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 09/2025"
OP-309,2025-10-05,"Pago de sueldos netos, retenciones y cargas sociales de 09/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 09/2025"
OP-309,2025-10-05,"Pago de sueldos netos, retenciones y cargas sociales de 09/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 09/2025"
OP-015,2025-10-14,"Compra de mercaderías al contado — lote 4 (800 u) (Factura A 0011-00000048)",1.1.04.01,"Mercaderías",14000000.00,0.00,"FA 0011-00000048"
OP-015,2025-10-14,"Compra de mercaderías al contado — lote 4 (800 u) (Factura A 0011-00000048)",1.1.03.01,"IVA Crédito Fiscal",2940000.00,0.00,"FA 0011-00000048"
OP-015,2025-10-14,"Compra de mercaderías al contado — lote 4 (800 u) (Factura A 0011-00000048)",1.1.01.02,"Banco c/c ARS",0.00,16940000.00,"FA 0011-00000048"
IVA-P3,2025-10-17,"Pago de la posición de IVA del trimestre 3/2025",2.1.03.04,"IVA a pagar",1583400.00,0.00,"VEP IVA T3"
IVA-P3,2025-10-17,"Pago de la posición de IVA del trimestre 3/2025",1.1.01.02,"Banco c/c ARS",0.00,1583400.00,"VEP IVA T3"
OP-171,2025-10-30,"Vencimiento y cobro del plazo fijo con sus intereses",1.1.01.02,"Banco c/c ARS",5750000.00,0.00,"Certificado PF 77001"
OP-171,2025-10-30,"Vencimiento y cobro del plazo fijo con sus intereses",1.1.05.01,"Plazos fijos a cobrar",0.00,5000000.00,"Certificado PF 77001"
OP-171,2025-10-30,"Vencimiento y cobro del plazo fijo con sus intereses",4.6.01,"Intereses ganados",0.00,750000.00,"Certificado PF 77001"
OP-210,2025-10-31,"Liquidación de sueldos y cargas sociales — 10/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 10/2025"
OP-210,2025-10-31,"Liquidación de sueldos y cargas sociales — 10/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 10/2025"
OP-210,2025-10-31,"Liquidación de sueldos y cargas sociales — 10/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 10/2025"
OP-210,2025-10-31,"Liquidación de sueldos y cargas sociales — 10/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 10/2025"
OP-210,2025-10-31,"Liquidación de sueldos y cargas sociales — 10/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 10/2025"
OP-161,2025-11-02,"Pago de la primera cuota del préstamo: capital e intereses devengados",2.2.01.01,"Préstamos bancarios",3000000.00,0.00,"Cuota 1 contrato 88-4410"
OP-161,2025-11-02,"Pago de la primera cuota del préstamo: capital e intereses devengados",4.6.02,"Intereses perdidos",2400000.00,0.00,"Cuota 1 contrato 88-4410"
OP-161,2025-11-02,"Pago de la primera cuota del préstamo: capital e intereses devengados",1.1.01.02,"Banco c/c ARS",0.00,5400000.00,"Cuota 1 contrato 88-4410"
OP-026,2025-11-05,"Venta de mercaderías al contado (700 u) (Factura B 0003-00000004)",1.1.01.02,"Banco c/c ARS",32186000.00,0.00,"FB 0003-00000004"
OP-026,2025-11-05,"Venta de mercaderías al contado (700 u) (Factura B 0003-00000004)",4.1.01,"Ventas",0.00,26600000.00,"FB 0003-00000004"
OP-026,2025-11-05,"Venta de mercaderías al contado (700 u) (Factura B 0003-00000004)",2.1.03.01,"IVA Débito Fiscal",0.00,5586000.00,"FB 0003-00000004"
OP-027,2025-11-05,"Costo de las mercaderías vendidas — venta del 05/11 (PEPS)",4.3.01,"Costo mercaderías vendidas",9800000.00,0.00,"Kardex 11/2025"
OP-027,2025-11-05,"Costo de las mercaderías vendidas — venta del 05/11 (PEPS)",1.1.04.01,"Mercaderías",0.00,9800000.00,"Kardex 11/2025"
OP-111,2025-11-05,"Alquiler del local — 11/2025 (Factura A 0055-00000011)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000011"
OP-111,2025-11-05,"Alquiler del local — 11/2025 (Factura A 0055-00000011)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000011"
OP-111,2025-11-05,"Alquiler del local — 11/2025 (Factura A 0055-00000011)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000011"
OP-310,2025-11-05,"Pago de sueldos netos, retenciones y cargas sociales de 10/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 10/2025"
OP-310,2025-11-05,"Pago de sueldos netos, retenciones y cargas sociales de 10/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 10/2025"
OP-310,2025-11-05,"Pago de sueldos netos, retenciones y cargas sociales de 10/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 10/2025"
OP-310,2025-11-05,"Pago de sueldos netos, retenciones y cargas sociales de 10/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 10/2025"
OP-028,2025-11-12,"Devolución de un cliente (50 u) con reintegro bancario (Nota de crédito B 0003-00000001)",4.8.06,"Devoluciones sobre ventas",1900000.00,0.00,"NCB 0003-00000001"
OP-028,2025-11-12,"Devolución de un cliente (50 u) con reintegro bancario (Nota de crédito B 0003-00000001)",2.1.03.01,"IVA Débito Fiscal",399000.00,0.00,"NCB 0003-00000001"
OP-028,2025-11-12,"Devolución de un cliente (50 u) con reintegro bancario (Nota de crédito B 0003-00000001)",1.1.01.02,"Banco c/c ARS",0.00,2299000.00,"NCB 0003-00000001"
OP-029,2025-11-12,"Reingreso al inventario de las 50 u devueltas, al costo",1.1.04.01,"Mercaderías",700000.00,0.00,"Kardex 11/2025"
OP-029,2025-11-12,"Reingreso al inventario de las 50 u devueltas, al costo",4.3.01,"Costo mercaderías vendidas",0.00,700000.00,"Kardex 11/2025"
OP-018,2025-11-20,"Pago parcial a proveedores",2.1.01.01,"Proveedores",9000000.00,0.00,"OP 000034"
OP-018,2025-11-20,"Pago parcial a proveedores",1.1.01.02,"Banco c/c ARS",0.00,9000000.00,"OP 000034"
OP-152,2025-11-28,"Gastos de oficina pagados con el fondo fijo (sin reponer al cierre)",4.5.06,"Gastos de oficina",100000.00,0.00,"Rendición FF 02"
OP-152,2025-11-28,"Gastos de oficina pagados con el fondo fijo (sin reponer al cierre)",1.1.03.01,"IVA Crédito Fiscal",21000.00,0.00,"Rendición FF 02"
OP-152,2025-11-28,"Gastos de oficina pagados con el fondo fijo (sin reponer al cierre)",1.1.01.06,"Fondo fijo",0.00,121000.00,"Rendición FF 02"
OP-211,2025-11-30,"Liquidación de sueldos y cargas sociales — 11/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 11/2025"
OP-211,2025-11-30,"Liquidación de sueldos y cargas sociales — 11/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 11/2025"
OP-211,2025-11-30,"Liquidación de sueldos y cargas sociales — 11/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 11/2025"
OP-211,2025-11-30,"Liquidación de sueldos y cargas sociales — 11/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 11/2025"
OP-211,2025-11-30,"Liquidación de sueldos y cargas sociales — 11/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 11/2025"
OP-172,2025-12-01,"Constitución de un plazo fijo a 180 días (vigente al cierre)",1.1.05.01,"Plazos fijos a cobrar",4000000.00,0.00,"Certificado PF 78440"
OP-172,2025-12-01,"Constitución de un plazo fijo a 180 días (vigente al cierre)",1.1.01.02,"Banco c/c ARS",0.00,4000000.00,"Certificado PF 78440"
OP-311,2025-12-05,"Pago de sueldos netos, retenciones y cargas sociales de 11/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 11/2025"
OP-311,2025-12-05,"Pago de sueldos netos, retenciones y cargas sociales de 11/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 11/2025"
OP-311,2025-12-05,"Pago de sueldos netos, retenciones y cargas sociales de 11/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 11/2025"
OP-311,2025-12-05,"Pago de sueldos netos, retenciones y cargas sociales de 11/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 11/2025"
OP-124,2025-12-10,"Energía, internet y telefonía — trimestre 4",4.5.05,"Servicios públicos",300000.00,0.00,"Facturas de servicios T4"
OP-124,2025-12-10,"Energía, internet y telefonía — trimestre 4",1.1.03.01,"IVA Crédito Fiscal",63000.00,0.00,"Facturas de servicios T4"
OP-124,2025-12-10,"Energía, internet y telefonía — trimestre 4",1.1.01.02,"Banco c/c ARS",0.00,363000.00,"Facturas de servicios T4"
OP-032,2025-12-15,"Cobro parcial a deudores por ventas",1.1.01.02,"Banco c/c ARS",12000000.00,0.00,"Recibo 000041"
OP-032,2025-12-15,"Cobro parcial a deudores por ventas",1.1.02.01,"Deudores por ventas",0.00,12000000.00,"Recibo 000041"
OP-033,2025-12-18,"Bonificación cedida a un cliente sobre saldo en cuenta (Nota de crédito A 0003-00000002)",4.2.02,"Bonificaciones cedidas",290000.00,0.00,"NCA 0003-00000002"
OP-033,2025-12-18,"Bonificación cedida a un cliente sobre saldo en cuenta (Nota de crédito A 0003-00000002)",2.1.03.01,"IVA Débito Fiscal",60900.00,0.00,"NCA 0003-00000002"
OP-033,2025-12-18,"Bonificación cedida a un cliente sobre saldo en cuenta (Nota de crédito A 0003-00000002)",1.1.02.01,"Deudores por ventas",0.00,350900.00,"NCA 0003-00000002"
IVA-T4,2025-12-31,"Liquidación de IVA — trimestre 4/2025",2.1.03.01,"IVA Débito Fiscal",5126100.00,0.00,"Cancelación del débito fiscal del trimestre 4"
IVA-T4,2025-12-31,"Liquidación de IVA — trimestre 4/2025",1.1.03.01,"IVA Crédito Fiscal",0.00,3387300.00,"Cancelación del crédito fiscal del trimestre 4"
IVA-T4,2025-12-31,"Liquidación de IVA — trimestre 4/2025",2.1.03.04,"IVA a pagar",0.00,1738800.00,"Posición a ingresar"
OP-009,2025-12-31,"Amortizaciones del ejercicio — muebles y útiles y equipos de computación",4.5.11,"Amortizaciones bienes de uso",1600000.00,0.00,"Papel de trabajo AM-02"
OP-009,2025-12-31,"Amortizaciones del ejercicio — muebles y útiles y equipos de computación",1.2.01.93,"Amort. acum. Muebles y útiles",0.00,600000.00,"Papel de trabajo AM-02"
OP-009,2025-12-31,"Amortizaciones del ejercicio — muebles y útiles y equipos de computación",1.2.01.95,"Amort. acum. Equipos comp.",0.00,1000000.00,"Papel de trabajo AM-02"
OP-112,2025-12-31,"Devengamiento del alquiler de diciembre, impago al cierre (Factura A 0055-00000012)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000012"
OP-112,2025-12-31,"Devengamiento del alquiler de diciembre, impago al cierre (Factura A 0055-00000012)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000012"
OP-112,2025-12-31,"Devengamiento del alquiler de diciembre, impago al cierre (Factura A 0055-00000012)",2.1.06.02,"Alquileres a pagar",0.00,605000.00,"FA 0055-00000012"
OP-125,2025-12-31,"Devengamiento de servicios de diciembre, impagos al cierre",4.5.05,"Servicios públicos",150000.00,0.00,"Facturas de servicios 12/2025"
OP-125,2025-12-31,"Devengamiento de servicios de diciembre, impagos al cierre",1.1.03.01,"IVA Crédito Fiscal",31500.00,0.00,"Facturas de servicios 12/2025"
OP-125,2025-12-31,"Devengamiento de servicios de diciembre, impagos al cierre",2.1.06.03,"Gastos a pagar",0.00,181500.00,"Facturas de servicios 12/2025"
OP-132,2025-12-31,"Devengamiento del seguro correspondiente a 6 meses del ejercicio",4.5.04,"Seguros",600000.00,0.00,"Papel de trabajo DEV-01"
OP-132,2025-12-31,"Devengamiento del seguro correspondiente a 6 meses del ejercicio",1.1.03.22,"Seguros pagados por adelantado",0.00,600000.00,"Papel de trabajo DEV-01"
OP-144,2025-12-31,"Comisiones y gastos bancarios — trimestre 4",4.6.04,"Comisiones y gastos bancarios",80000.00,0.00,"Resumen bancario T4"
OP-144,2025-12-31,"Comisiones y gastos bancarios — trimestre 4",1.1.03.01,"IVA Crédito Fiscal",16800.00,0.00,"Resumen bancario T4"
OP-144,2025-12-31,"Comisiones y gastos bancarios — trimestre 4",1.1.01.02,"Banco c/c ARS",0.00,96800.00,"Resumen bancario T4"
OP-162,2025-12-31,"Devengamiento de intereses del préstamo desde el 02/11 al 31/12",4.6.02,"Intereses perdidos",600000.00,0.00,"Papel de trabajo DEV-02"
OP-162,2025-12-31,"Devengamiento de intereses del préstamo desde el 02/11 al 31/12",2.1.06.03,"Gastos a pagar",0.00,600000.00,"Papel de trabajo DEV-02"
OP-173,2025-12-31,"Devengamiento de los intereses del plazo fijo vigente al cierre",1.1.05.01,"Plazos fijos a cobrar",120000.00,0.00,"Papel de trabajo DEV-03"
OP-173,2025-12-31,"Devengamiento de los intereses del plazo fijo vigente al cierre",4.6.01,"Intereses ganados",0.00,120000.00,"Papel de trabajo DEV-03"
OP-180,2025-12-31,"Provisión del impuesto a las ganancias del ejercicio (35 %)",4.9.01,"Impuesto a las ganancias",6926500.00,0.00,"Papel de trabajo IG-01"
OP-180,2025-12-31,"Provisión del impuesto a las ganancias del ejercicio (35 %)",2.1.03.02,"Impuestos a pagar",0.00,6926500.00,"Papel de trabajo IG-01"
OP-212,2025-12-31,"Liquidación de sueldos y cargas sociales — 12/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 12/2025"
OP-212,2025-12-31,"Liquidación de sueldos y cargas sociales — 12/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 12/2025"
OP-212,2025-12-31,"Liquidación de sueldos y cargas sociales — 12/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 12/2025"
OP-212,2025-12-31,"Liquidación de sueldos y cargas sociales — 12/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 12/2025"
OP-212,2025-12-31,"Liquidación de sueldos y cargas sociales — 12/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 12/2025"
